name,url
MYSQL Workbench إنشاء و تصميم قواعد البيانات باستخدام (Coursera Project Network),https://www.coursera.org/learn/database-creation-and-modeling-using-mysqlworkbench
Machine Learning Interpretable: interpretML y LIME (Coursera Project Network),https://www.coursera.org/learn/machine-learning-interpretable-lime
Mandarin Chinese for Intermediate Learners: Part 1 (Shanghai Jiao Tong University),https://www.coursera.org/learn/mandarin-chinese-intermediate-learners-1
Manejo del enfermo semicrítico y crítico por COVID-19 (Universitat de Barcelona),https://www.coursera.org/learn/covid-19-esp
Market your new business with Canva (Coursera Project Network),https://www.coursera.org/learn/market-new-business-canva
Microsoft Excel  حسابات البيانات في (Coursera Project Network),https://www.coursera.org/learn/data-calculations--microsoft-excel
Microsoft Excel إنشاء جدول اجتماع باستخدام (Coursera Project Network),https://www.coursera.org/learn/microsoft-excel-iinsha-jadwal-ajtimae-biastikhdam
Microsoft Excel مقدمة إلى تحليل البيانات باستخدام (Coursera Project Network),https://www.coursera.org/learn/microsoft-excel-mqdm-l-thlyl-lbynt-bstkhdm
Modelling with WARP PLS (Coursera Project Network),https://www.coursera.org/learn/warp-pls
"Natural Language Processing and Capstone Assignment (University of California, Irvine)",https://www.coursera.org/learn/natural-language-processing-captsone-assignment
Non parametric Tests using R Cmdr (Coursera Project Network),https://www.coursera.org/learn/non-parametric-tests-rcmdr
Optimiza las comunicaciones organizacionales con Slack (Coursera Project Network),https://www.coursera.org/learn/optimiza-las-comunicaciones-organizacionales-con-slack
Optimization Methods in Asset Management (Columbia University),https://www.coursera.org/learn/financial-engineering-optimizationmethods
Parameterized and Dynamic Testing in JUnit (LearnQuest),https://www.coursera.org/learn/dynamic-j-unit-testing
Physics 102  - Magnetic Fields and Faraday's Law (Rice University),https://www.coursera.org/learn/physics-102-magnetic-fields-faradays-law
Plane und erstelle einen Aufgabenkalender in Trello (Coursera Project Network),https://www.coursera.org/learn/plane-und-erstelle-einen-aufgabenkalender-in-trello
Power BI  الحصول على البيانات وشكلها ودمجها باستخدام (Coursera Project Network),https://www.coursera.org/learn/manipulate-data-using-power-bi-desktop
Power BI لوحة بيانات مبيعات باستخدام برنامج (Coursera Project Network),https://www.coursera.org/learn/power-bi-iawhat-bayanat-mabieat-biaistikhdam-barnamaj
Power BI وتقارير باستخدام Visualizations   إنشاء (Coursera Project Network),https://www.coursera.org/learn/creating-visualizations-and-reports-using-power-bi
Predictive Analytics for Business with H2O in R (Coursera Project Network),https://www.coursera.org/learn/predictive-analytics-business-h2o-r
